Filename,Sound label,Phrase,Tone,Segment,Begin time,End time,Duration,Type
A_0_04.wav,PM-3-e,PM,3,e,348.9346205,348.9508803,16.25973374,pd
A_0_04.wav,PM-3-en,PM,3,en,348.9508803,348.9683999,17.51963334,pd
A_0_04.wav,PM-3-n,PM,3,n,348.9850236,349.0182849,33.26134931,pd
A_0_04.wav,PI-4-ye,PI,4,ye,383.753233,383.7871424,33.90939864,pd
A_0_04.wav,PI-4-ye,PI,4,ye,383.7871424,383.8192819,32.13941844,pd
A_0_04.wav,AS1-3-en,AS1,3,en,396.2248299,396.254931,30.10103809,pd
A_0_04.wav,AS1-3-en,AS1,3,en,396.254931,396.2783288,23.39786575,pd
A_0_04.wav,PS1-3-i,PS1,3,i,418.0742932,418.1108839,36.59072642,pd
A_0_04.wav,PF-3-en,PF,3,en,428.1464591,428.188677,42.2178349,pd
A_0_04.wav,PS1-3-i,PS1,3,i,437.9538222,438.0215974,67.77517167,pd
A_0_04.wav,PM-3-i,PM,3,i,438.4082845,438.4509652,42.68068667,pd
A_0_04.wav,PM-3-a,PM,3,a,441.7311074,441.746628,15.52058891,pd
A_0_04.wav,PM-3-a,PM,3,a,441.746628,441.7628468,16.21875862,pd
A_0_04.wav,PM-3-a,PM,3,a,441.7628468,441.7796954,16.84861332,pd
A_0_04.wav,PM-3-a,PM,3,a,441.7796954,441.7939149,14.21950173,pd
A_0_04.wav,PF-2-jen,PF,2,jen,441.8055608,441.882976,77.41522194,pd
A_0_04.wav,PF-2-en,PF,2,en,441.893695,441.9630343,69.33925424,pd
A_0_04.wav,AS1-3-n,AS1,3,n,445.5435665,445.5879255,44.35899947,pd
A_0_04.wav,PM-4-a,PM,4,a,451.7375788,451.7677638,30.18505854,pd
A_0_04.wav,PF-2-ou,PF,2,ou,451.9543847,452.0003346,45.94989777,pd
A_0_04.wav,AS1-3-n,AS1,3,n,455.1233715,455.1660975,42.7260441,pd
A_0_04.wav,PF-2-en,PF,2,en,457.8348601,457.8713232,36.46312692,pd
A_0_04.wav,PF-2-n,PF,2,n,457.8840386,457.9268802,42.84166468,pd
A_0_04.wav,PF-1-en,PF,1,en,460.5395698,460.6338938,94.32405018,pd
A_0_04.wav,PM-3-u,PM,3,u,478.2596914,478.2830714,23.38001648,pd
A_0_04.wav,PM-3-u,PM,3,u,478.2830714,478.303795,20.72356146,pd
A_0_04.wav,PM-3-u,PM,3,u,478.303795,478.3211132,17.31824987,pd
A_0_04.wav,PS1-3-i,PS1,3,i,485.5309141,485.5658611,34.94705253,pd
A_0_04.wav,PF-2-ang,PF,2,ang,486.4977085,486.5499483,52.23978155,pd
A_0_04.wav,PI-3-e,PI,3,e,489.5799181,489.6109124,30.99433313,pd
A_0_04.wav,PI-3-ng,PI,3,ng,489.6109124,489.6561408,45.22842235,pd
A_0_04.wav,PI-3-ng,PI,3,ng,489.6561408,489.6803832,24.24235693,pd
